movie,director,music,cast,plot_excerpt
Veerapandiya Kattabomman (film),[[B. R. Panthulu]],[[G. Ramanathan]],"{{plainlist|
*[[Sivaji Ganesan]]
*[[Gemini Ganesan]]
*[[Padmini (actress)|Padmini]]
*[[S. Varalakshmi]]
*[[Ragini (actress)|Ragini]]}}","[[Veerapandiya Kattabomman]], the [[Tribal chief|chieftain]] of [[Panchalankurichi]], is a brave warrior. On receiving news of a robbery in his territory, he and his retinue set out incognito to capture the robbers. When captured, the robbers confess that they had been hired by the [[British Raj|British]] to create unrest in Kattabomman's domain; the British had enticed the neighbouring chieftain, [[Ettappan]], to help them annexe Panchalankurichi.

Vellaiyammal, who lives in [[Sayalgudi|Chayalkudi]], a village near Panchalankurichi, vows to marry the man who tames her pet bull. She brings her bull to Panchalankurichi for participating in a [[jallikattu]] game sponsored by Kattabomman. All those who attempt to tame the bull fail until Vellaiyathevan, Kattabomman's commander-in-chief, subdues the bull and wins Vellaiyammal's love. Kattabomman later learns of their love, and encourages them to marry.

The king receives a message from W. C. Jackson, the tax collector for [[Tirunelveli]], which demands a meeting with him at [[Ramanathapuram]] to discuss payment. Captain Davison, Kattabomman's British friend, advises him to see Jackson. Jackson, learning that Kattabomman has come with his troops, demands to meet him alone. At the meeting, Jackson insults him and orders him arrested. Surrounded by British troops, Kattabomman fights and escapes; however, his minister Thanapathi Sivasubramaniam Pillai is captured.

Some time later, Pillai is released and brings news that Jackson has been sent back to England at Davison's recommendation. A British messenger sent to Kattabomman's court by Colonel S. R. Lushington, Tirunelveli's new revenue collector reports that Pillai and his men have looted their granaries and killed their men at [[Srivaikuntam]]. Pillai justifies his act, saying that he instructed his men to do it because of the famine in their kingdom. Ashamed of Pillai's action, Kattabomman accuses him of theft and murder. Pillai apologises and offers himself as a prisoner to the British, but Kattabomman refuses to hand him over; instead, he offers money to compensate for the looted rice. Lushington refuses the compensation and, with Major Bannerman's and Ettappan's help, incites the neighbouring rulers to attack Kattabomman. Bannerman is placed in charge of the British troops; he and Ettappan plan to attack Panchalankurichi when the people are attending a festival in Tiruchendur. Kattabomman's spy Sundaralingam informs the king, who prepares for war.

On the day of the battle, Vellaiyammal begs Vellaiyathevan not to go because she had a nightmare full of evil omens the previous night. Ignoring her entreaties, Vellaiyathevan sets out and is killed in the ensuing battle. When she learns of her husband's death, Vellaiyammal avenges him by killing the man who killed him. She finds Vellaiyathevan's body and, overcome by grief, falls dead across it. Bannerman's troops attack Panchalankurichi with heavy artillery, and Kattabomman's army suffers. The king, wounded in the neck, is saved by his brother [[Oomaithurai]]. Sensing that the fort cannot survive another cannon barrage, Kattabomman and Oomaithurai flee to the adjoining kingdom of [[Kovilpatti]]. Pillai, disguising himself as Kattabomman, decoys the British soldiers who are on the king's trail. From Kovilpatti, Kattabomman and Oomaithurai flee to [[Pudukkottai]]. Thondaimaan, the king of Pudukkottai, is ordered by the British to capture Kattabomman and Oomaithurai. Fearing the British, Thondaimaan captures them and hands them over. While Oomaithurai is jailed, Kattabomman is tried by the British and hanged."
1960,Error,Error,Error,Error
1956,Error,Error,Error,Error
Selvam (1966 film),[[K. S. Gopalakrishnan]],[[K. V. Mahadevan]],[[Sivaji Ganesan]]<br />[[K. R. Vijaya]],{{no plot|date=September 2021}}
Naan Vazhavaippen,[[D. Yoganand]],[[Ilaiyaraaja]],{{unbulleted list|[[Sivaji Ganesan]]|[[K. R. Vijaya]]|[[Rajinikanth]]}},"Ravi is a travel agent that is the sole provider for his family consisting of a widowed mother, physically disabled younger sister and younger brother. He and Neela, a promising defence attorney, are engaged to be married. Neela's brother, Ramesh is a public prosecutor who is supportive of her career and love. Ravi is questioned by the police when one of his clients, Jayaraj, is murdered. Ravi was one of the last people to see Jayaraj alive but has no useful information to assist the investigation. He does, however, have trouble remembering very basic information from a short time ago. This, in addition to his increasingly painful headaches, leads him to see the doctor. He's diagnosed with brain tumours. Ravi is eligible for an operation to remove these but is told that there may be life altering side-effects. Ravi also learns that Jayaraj's brother Ramaraj is offering a large reward for information leading to the capture of his brother's murderer.

Feeling bereft, hopeless and worried about the financial future of his family, Ravi anonymously calls in a tip naming himself the murderer. He arranges for the reward money to go to his mother using lawyer Lakshmanan as arbiter without revealing himself to anyone. Ravi is arrested by the inspector. Neela tries to defend him but Ravi sabotages his own case and is sentenced to death. While in jail, he collapses due to his tumour and is operated on. He survives with no side-effects and finally realises the true magnitude of his actions. He will be hanged for a murder he did not commit. Ravi reveals the truth to his family and friends but Neela advises him that at this point, nothing short of producing the actual murderer will help him. He sets out to find the murderer and his investigation leads him to Michael D'Souza, a robber who had robbed Jayaraj shortly before his murder. With Michael's help, Ravi unravels the mystery of Jayaraj's murder."
Tharaasu,Rajaganapathy,[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[K. R. Vijaya]]<br />[[Poornam Viswanathan]]<br />[[Prabhu (actor)|Prabhu]],{{no plot|date=March 2023}}
Theerpu,[[R. Krishnamoorthy]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Jaishankar (actor)|Jaishankar]]<br />[[Sujatha (actress)|Sujatha]]<br />[[Vijayakumar (Tamil actor)|Vijayakumar]],"{{more plot|date=April 2023}}
Rajasekar, [[Superintendent of police (India)|Superintendent of Police]], lives happily with his wife, two sons (a lawyer and an inspector) and a daughter. Things get worse when his daughter gets raped by a smuggler owing to a revenge. He immediately kills him after seeing his daughter in such a state. He gets arrested by his own son for committing murder. His other son, the lawyer, tries to prove him innocent. During investigations, he does not reveal the real cause fearing his daughter's reputation. What happens next is the rest of the film."
Neela Vaanam,[[P. Madhavan]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[Devika]]<br />[[Rajasri]],"Babu has the tendency to use hitchhiking as his transportation method to reach his workplace, Shanthi Theatre. He asks Vimala, a stranger, to drop him off at Shanthi Theatre. At first, she misunderstands that he is a movie freak, as he says that he watches three shows in first class in Shanthi theater. Then she realises that Babu is a ticket taker in the Shanthi theater. They meet every day, and they fall in love, and Babu tells her that they can only marry if he gets a good job for his qualification, a Bachelor of Arts. Prakash sees Babu and Vimala together in a swimming pool, and he informs his uncle Varatharajan. Varatharajan approves of Vimala's love.

Somanathan, a paper mill owner, asks Sharma to look for a groom for his only daughter, Gowri. Gowri is a naive woman; she meets Babu on the road as he approaches her car, misunderstanding Vimala's car. She drops him off at his house, invites him to her house for her birthday party, and offers to get him a job at her father's company. Babu attends Gowri's birthday party, hoping he will get a job, where Gowri introduces him to her father, Somanathan. Babu tells Gowri that Somanathan is the one who helped him finish his education. As other guests are approaching, Somanathan goes upstairs. Gowri's mother notices that Gowri's diamond necklace is missing, and the people around them search for the necklace. Sharma notices Babu holding his coat tightly, so Sharma and other people remove his coat and laugh at him for not wearing a shirt. Somanathan scolds others for mistreating Babu. Somanathan and Gowri visit Babu in his house and ask for forgiveness for the mistreatment, and they offer him a job in their mill, which Babu accepts.

Babu informs Vimala that he got a job in Somanathan's paper mill, and then she introduces him to her father Varatharajan. Sharma finds Prakash as a groom for Gowri. Gowri is afraid of injections and surgery; she hides her stomach pain, but her mother notices her suffering, and they get her to the hospital and find that she has uterine cancer, which can't be cured. Gowri's parents hide it from her, and Somanathan tries to find a way to cure her, but his attempts go futile as every doctor says there is no cure and she can only live for five or six months. Varatharajan rejects the proposal for Prakash and Gowri's marriage, as he has heard from Sharma that Gowri may have been possessed by a ghost. As Gowri hears that she has been rejected by Prakash's family, she is sad and disappointed, which Babu notices, and he tries to make her feel better, but she ends up proposing to marry her. Somanathan notices Gowri's interest in marrying Babu, and he talks with him alone to explain Gowri's situation, and he begs him to marry her.

Babu and Gowri get married and live happily. Vimala thinks that he left her only for Gowri's money. As Somanathan's health is not good, Gowri and Somanathan ask Babu to take care of the mill. Vimala becomes friends with Gowri and gets a job as a personal assistant in Somanathan's paper mill. Babu is shocked to see Vimala at the office, and she threatens him by saying she will reveal their past relationship to Gowri.

When he reaches his house, Babu scolds Gowri for hiring Vimala, which makes Gowri cry, so he tries to make her laugh. She feels the pain in her stomach. He tries to convince her to see a doctor, but she is hesitant, saying that if doctors come, they may do surgery, which may lead her to not have a child. So to make her let a doctor check her, he lies that she may be pregnant; that's why she feels the pain. The lady doctor checks and informs Babu that Gowri will only live for four or five months, so let her be happy, making her believe she's pregnant. Somanathan and Babu pretend like Gowri is pregnant, and they hide their sadness.

Five months later, Babu notices the news that a conference is happening in Delhi and doctors across the globe are attending the conference, so he attends the conference to try to find a way to cure her. He returns to Madras, and Vimala asks him why he has gone to Delhi and accuses him of cheating another woman like he did to her. Also, she shows the photograph of Babu and Vimala together, and she threatens him by saying she will show the picture to Gowri. He snatches the photo from her and tears it apart. One of the pieces of the photo falls on the fruit basket, and when he is home, Gowri finds the photo piece. Sceptical, she visits Vimala, and she tells her that she is afraid that Babu has a past relationship with someone, and by seeing Gowri's innocence and her love for her husband, she writes that she will no longer be in Babu's life in a photo's backside, and she leaves the place. By reading the written message, only she realises that Vimala is the one with whom Babu has been in a relationship.

When Babu is back at the house, Gowri confronts him and says that she has found his secret. Unwitting what she meant, he tells her about her medical condition. He tells her that his recent visit to Delhi was only to attend the medical conference. He explains the situation to her and convinces her to get treated. When the ambulance arrives, she gets pain again, and she refuses to get in as she wants to die in his arms. She tells him to marry Vimala, and she gives him the baby doll, which she considers their own child, while taking her last breath. Somanathan asks Babu not to leave, but he leaves the house with the doll. On the road, Vimala finds Babu with the doll, and she begs that she understand his innocence, but he walks away."
Thunai,[[Durai (director)|Durai]],[[Shankar–Ganesh]],"[[Sivaji Ganesan]]<br />[[Saritha]]<br />[[M. G. Chakrapani]]<br />[[Suresh (actor, born 1963)|Suresh]]","Dasaratharaman is an easy-going widower with a grown son, Raghuraman. He works as a sub-registrar, and his jovial nature earns him the friendship of nearly everyone he meets. In the house near where he lives, a poor family consisting of a widowed mother and several children reside. Vidhya is the sole breadwinner of the family, while her younger brother Vijay is looking for a job. Her older brother left the home after a love-marriage and is struggling financially. She also has a younger sister, Nandhini, and another younger brother. Dasaratharaman makes it a point to look out for Vidhya as they take the same train to their respective jobs.

Vijay introduces Moorthy to his family as a relative of a friend, and he quickly endears himself to everyone. He promises to help both brothers find jobs and proposes marriage to Vidhya. To the family's joy, the two marry, with Dasaratharaman presiding.

Raghuraman is in love with his colleague, Radha, a determined woman with a forceful personality. Dasaratharaman, unaware of this, asks his friend, VKR, to find a bride for his son. Raghuram plots to trick his father into choosing Radha as his bride, but bad timing ruins his plan. Unaware of his identity, Radha is rude to Dasaratharaman in a bid to put off a marriage she doesn't want. Worried that he will now never approve, she pushes Raghuraman to marry her in secret. Dasaratharaman learns this and arrives in time to see the wedding.

Moorthy, meanwhile, turns out to be a wanted criminal who tricks women into marriage to steal their jewellery. He is arrested and Vidhya's marriage is annulled, leaving her humiliated. When both of her brothers are in need of cash to get a job, Vidhya helps her oldest brother, causing a fracture in the family. The rest of the family moves out, leaving her alone. Feeling guilty for presiding over the marriage, Dasaratharaman keeps an eye on her.

Radha and Dasaratharaman clash repeatedly. Unable to get over the circumstances of his son's marriage, he makes sly comments disparaging Radha to everyone. Radha, in retaliation, is rude to him and insinuates about his relationship with Vidhya. Matters come to a head when Raghuraman learns of Radha's behaviour towards his father and Radha requests Dasaratharaman to leave the home.

In the end, when Vidhya suggests that they should get married as they both need companion and have no one, they go to registrar's office only for Vidhya to find out that he had arranged to adopt her much to the shock of Dasaratharaman's family."
Manidhanum Mirugamum,K. Vembu<br />[[S. D. Sundharam]],[[G. Govindarajulu Naidu]],[[Sivaji Ganesan]]<br />[[Madhuri Devi]]<br />[[N. N. Kannappa]]<br />[[T. R. Ramachandran]]<br />[[K. Sarangapani]]<br />[[M. N. Rajam]],{{no plot|date=May 2022}}
Ethiroli,[[K. Balachander]],[[K. V. Mahadevan]],[[Sivaji Ganesan]]<br />[[K. R. Vijaya]],"{{more plot|date=June 2021}}
The story revolves around Advocate Shankar, who gives his daughter seven principles to follow. However, in a critical case that he takes up, Shankar ends up violating each principle, leading to misery in both his case and personal life. The film concludes with his daughter gifting him the same seven principles, which he intends to follow once again."
Amara Deepam (1956 film),[[T. Prakash Rao]],[[T. Chalapathi Rao]]<br />[[G. Ramanathan]]<br />[[G. N. Balasubramaniam]],[[Sivaji Ganesan]]<br />[[Savitri (actress)|Savitri]]<br />[[Padmini (actress)|Padmini]],"{{More plot|date=March 2022}}
Aruna is a girl from a wealthy family. Her parents want her to marry her cousin Sukumar. She, however, does not like him because of his dictatorial behaviour. He even breaks her radio, which convinces Aruna that he is certainly not the person for her. She leaves the house one night without informing anyone to escape from the marriage. She ends up being chased by some goons, and gets saved by a bypasser Ashok. Suddenly, somebody hits Ashok on the head, which causes him to lose his memory. Later, he meets a woman in a gypsy camp called Rupa and falls for her. Aruna, however, cannot forget him and never ceases her search for him. She finally meets him at a show with Rupa. Whether he regains his memory and what eventually happens forms the climax."
Neethi (1972 film),[[C. V. Rajendran]],[[M. S. Viswanathan]],[[Sivaji Ganesan]]<br />[[J. Jayalalithaa|Jayalalithaa]]<br />[[Sowcar Janaki]],"Raja is a rash truck driver who often drives intoxicated. One night he stops at a prostitute's house for the night, then awakens late in the morning. He drives his truck at breakneck speed in thick fog to make up for lost time, drinking once again. He runs over and kills a farmer, but instead of fleeing in a [[hit and run]] opportunity, Raja stays to face the consequences. He is arrested by police and brought before the court.

Raja acknowledges his guilt to the judge who knows that he should be sent to prison for two years. Instead, the judge is moved by the plight of the farmer's family which includes his widow Seetha, a sister, two young children, a weak father and a blind mother. They believe that imprisonment serves no good for the victim or the perpetrator. The judge decides to try a novel experiment by forcing Raja to live with the farmer's family and look after their financial needs. Horrified, Raja tries in vain to convince the judge to change his ruling. Raja is transported to his new ""prison"" under police protection, where he must meet the hostile villagers. The farmer's family abhors his presence and call him a murderer. Raja tries to escape from the family the first night, but is apprehended and brought back to the house to serve his time.

Raja comes to terms with the twist of fate that has forced him to become a subsistence farmer and live under the unforgiving eyes of the farmer's family. Over time, he started sincerely working for the family and its interests. He meets Radha [[Jayalalithaa]], a happy-go-lucky girl who operates a small bi-scope machine to entertain the village kids. They take an instant liking to each other, which blossoms into love. He also finds friends among the previously hostile villagers Ponnamma. Raja works hard on the family land while protecting it from the clutches of a local landlord [[R.S.Manohar]] who has ill-intentioned designs on the land and on the farmer's sister.

Surmounting many obstacles, Raja arranged the marriage of the sister with her childhood sweetheart. With the help of a benevolent police force and the judge, Raja thwarted attempts by the landlord to seize the family's land and that of other villagers who have mortgaged their land with him. The farmer's widow, however, can not forgive Raja for having killed her husband.

Things take a dramatic turn for the worse when Raja is framed and arrested for the accidental death of Radha's drunken grandfather. At the same time, the landlord has the lush harvest produced by Raja and other villagers covertly set ablaze and has Radha kidnapped, primarily to punish Raja. The widow who has been working in the landlord's Ice Factory thinking, he is an honourable man, witnessed the misdeeds of the landlord and finally realised his mistake. She rescues Radha, but is instead trapped by the landlord, who tries to rape her. Meanwhile, Raja stages an escape from his holding cell with the help of Radha, and comes to Seetha's rescue in the nick of time. He confronts the landlord and violently assaults him as payback. The Police show up and arrest the landlord for his role in defrauding the villagers and destroying their harvest.

The deceased farmer's family finally accepted Raja as one of their own and arranged his marriage with Radha. Finally, Raja completed his two years imprisonment successfully. Police arrive to escort him back to town. He asks the judge to let him serve a life sentence, and the judge smiles, justifying that his experiment has been successful. In the end, villagers welcome Raja and celebrate him. The children and the dog reunite with Raja. The family members of the deceased farmer and Ponnamma are reunited. Furthermore, Radha and Raja are united."
